id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
191,a,,,3.9,712,213.0,0,0.0,-1,1.0,11.4,33,11.0,42,1,2.6,212.0,78.0,0,139,2.8,131.0,44.0,0.7,10.8,0.0,655192,22690,1386958,23460,2.8,2.8,0.41,0.39,0.8,33.52,0.03,0.02,0.05,2.11,340.6,41.0,18.0,67.2,223.0,61.0,60.0,227.0,60.0,47.0,126.0,43.0,,,,16,,Maxime,Estève,Estève,,,1432,0,0,2,33,2,0,0,0,0,0,16,187,,,,0.0,0.13,2.07,1.01,10.12,16,145,50
195,a,100.0,0.0,3.8,755,246.0,0,0.0,-2,2.0,0.2,358,132.0,-2,0,-1.0,760.0,251.0,0,-10,-0.6,760.0,251.0,-0.2,-0.5,0.0,21696,1590,21002,629,-0.6,0.0,0.0,0.11,0.11,1.47,0.0,0.19,0.19,2.59,4.4,432.0,156.0,21.0,336.0,115.0,2.0,388.0,141.0,2.6,417.0,148.0,,,,16,,Lucas,Pires Silva,Lucas Pires,,,51,0,0,0,3,0,0,0,0,1,0,1,1,,,,0.0,0.0,5.29,1.76,1.76,1,0,4
196,u,0.0,0.0,4.0,641,169.0,0,0.0,0,0.0,0.0,590,212.0,0,0,0.0,536.0,200.0,0,0,0.0,468.0,179.0,0.0,0.0,0.0,202,0,9288,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,202.0,0.0,517.0,201.0,0.0,485.0,190.0,0.0,530.0,202.0,,,,16,,Shurandy,Sambo,Sambo,Has joined Sparta Rotterdam on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
197,a,,,3.8,750,241.0,0,0.0,-2,2.0,0.3,333,119.0,10,7,2.5,221.0,81.0,0,14,1.4,234.0,81.0,0.4,2.6,0.0,17797,11376,12255,564,1.4,1.4,0.42,0.08,0.5,3.31,0.33,0.06,0.39,2.59,40.2,356.0,130.0,17.2,350.0,123.0,23.0,309.0,100.0,8.0,369.0,127.0,,,,16,,Oliver,Sonne,Sonne,,,115,1,0,0,4,0,0,0,0,0,0,1,5,,,,0.0,0.0,3.13,0.78,1.57,1,1,3
213,a,,,4.5,448,271.0,0,0.0,0,0.0,0.0,587,221.0,0,0,0.0,666.0,273.0,0,0,0.0,621.0,246.0,0.0,0.0,0.0,5822,230,6473,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.0,269.0,0.0,656.0,269.0,0.0,642.0,266.0,0.0,664.0,270.0,,,,16,,Jaydon,Banel,Banel,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
104,a,,,3.9,726,85.0,0,0.0,-1,1.0,0.1,419,66.0,0,0,0.0,508.0,52.0,0,0,0.0,439.0,46.0,0.0,0.0,0.0,11493,230,6319,344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.0,52.0,0.0,487.0,38.0,0.0,454.0,24.0,0.0,502.0,52.0,,,,16,,Julian,Eyestone,Eyestone,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
127,a,100.0,100.0,4.9,334,207.0,0,0.0,-1,1.0,0.0,684,290.0,0,0,0.0,715.0,307.0,0,0,0.0,691.0,293.0,0.0,0.0,0.0,953,118,1356,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.0,307.0,0.0,713.0,307.0,0.0,706.0,305.0,0.0,717.0,307.0,,,,16,,Gustavo,Nunes Fernandes Gomes,Nunes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
159,i,0.0,0.0,5.8,105,69.0,0,0.0,-2,2.0,0.0,713,308.0,0,0,0.0,747.0,330.0,0,0,0.0,739.0,326.0,0.0,0.0,0.0,526,14,2329,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,330.0,0.0,749.0,330.0,0.0,747.0,329.0,0.0,749.0,330.0,,,,16,,Solly,March,March,Knee injury - Expected back 03 Jan,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
358,a,100.0,100.0,4.8,351,219.0,0,0.0,-2,2.0,0.3,310,106.0,36,2,2.8,196.0,87.0,2,135,4.6,46.0,23.0,1.0,7.5,0.0,34794,6526,28818,2159,4.6,4.6,0.63,0.52,1.15,11.03,0.09,0.08,0.17,1.6,122.8,230.0,101.0,99.1,171.0,117.0,70.0,198.0,116.0,29.1,238.0,123.0,,,,16,,Tanaka,Ao,Tanaka,,,620,2,0,2,13,0,0,0,1,0,0,7,65,,,,0.0,0.29,1.89,1.02,9.44,12,19,34
361,u,0.0,0.0,4.5,429,257.0,0,0.0,0,0.0,0.0,638,259.0,0,0,0.0,652.0,260.0,0,0,0.0,607.0,233.0,0.0,0.0,0.0,1165,0,8133,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,256.0,0.0,642.0,256.0,0.0,628.0,253.0,0.0,650.0,257.0,,,,16,,Darko,Gyabi,Gyabi,has joined Hull City permanently.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
